Gene_Name,CTRL_0,CTRL_1,CTRL_2,P4_0,P4_1,P4_2,IL1B_0,IL1B_1,IL1B_2,FSK_0,FSK_1,FSK_2,FSK_P4_0,FSK_P4_1,FSK_P4_2,P4_IL1B_0,P4_IL1B_1,P4_IL1B_2,FSK_IL1B_0,FSK_IL1B_1,FSK_IL1B_2,FSK_P4_IL1B_0,FSK_P4_IL1B_1,FSK_P4_IL1B_2
SNX15,19.2454,18.7139,22.294,17.4806,16.5447,19.6587,17.0555,19.155,21.9266,16.8107,16.2342,21.351,14.5071,17.147,17.8979,15.8547,17.5207,17.8745,17.5919,14.5854,19.669,14.127,17.9672,22.389
SNX16,6.13981,5.74144,3.32748,4.58258,5.03038,2.55086,5.85098,6.24693,4.66291,7.13307,8.16737,5.33524,5.76716,5.27662,5.51086,5.95858,6.31317,5.30114,6.9158,9.5743,5.62416,5.94895,5.71213,3.42029
SNX17,72.4802,68.9583,75.9702,73.6628,68.7195,78.4076,68.3861,66.6009,73.0805,68.3469,60.0609,66.4414,66.6871,64.6726,63.6487,68.6443,68.086,65.0049,62.6611,56.0313,63.6134,61.8308,62.6144,65.6073
SNX18,7.01334,7.54601,4.43167,6.85723,6.44615,3.83956,9.15904,9.48295,7.24341,7.0333,7.89412,5.56159,6.97857,7.34899,7.00213,7.945,7.70862,7.15703,9.3779,10.0777,7.52001,8.72538,8.0588,5.51228
SNX19,20.7816,19.2461,17.4852,17.986,18.5562,16.3405,20.8436,22.003,20.8584,23.6826,20.8234,22.2816,24.9576,22.1721,23.0358,19.7855,18.4694,19.6806,22.7768,22.9867,22.5289,21.4359,21.8283,21.302
SNX2,39.1846,47.3317,31.6019,40.7916,46.4999,33.445,42.881,53.531,40.7286,48.5041,58.7204,47.9011,52.498,57.0207,51.2772,42.1369,52.1026,42.7917,50.968,64.2953,45.7802,48.7808,51.9862,41.0498
SNX21,5.28,5.50005,5.31286,5.91469,5.80125,6.01987,5.18177,5.57308,5.7235,6.42461,6.02445,6.71361,6.94345,6.30021,7.12521,6.45635,6.40912,7.62703,6.14736,5.63466,6.70823,6.74098,6.87244,7.96438
SNX22,1.66026,1.6951,2.26296,1.96955,1.89914,1.81455,2.24679,2.00823,2.60297,1.42045,1.45169,1.53235,1.84201,1.50782,1.25496,1.35173,1.56657,1.53234,1.43217,1.44296,1.77784,1.18325,1.58838,2.44355
SNX24,19.1005,19.424,12.4912,19.5462,20.0206,13.1337,19.2716,21.419,15.8864,15.9137,16.3898,11.6885,17.322,18.7639,17.6045,19.9541,19.9622,17.3092,16.0566,18.3254,14.3838,21.068,19.8747,13.9417
SNX25,8.53188,9.15696,6.67478,8.30311,8.37962,6.47154,8.04162,9.8229,7.9082,8.98499,10.5999,9.03782,9.68533,9.96392,8.83025,8.72741,9.86305,8.5757,9.38873,11.3444,8.99949,9.2173,9.38278,7.02733
SNX27,9.04691,9.24359,7.08739,9.20673,8.33377,6.94365,8.93141,8.27675,8.96051,9.47826,8.5947,9.3685,10.1439,8.59347,11.6208,10.2341,9.64133,10.4312,10.0828,9.71553,9.59288,11.123,9.78947,8.4663
SNX29,4.23937,4.35376,3.74738,3.74147,3.90102,3.90631,3.94793,3.79082,4.22596,4.99436,4.80729,5.58561,5.46131,4.83937,5.7265,4.16281,4.53151,4.61718,4.848,4.87612,5.43183,4.83879,5.66603,5.57494
SNX29P1,0.070234,0.123488,0.112625,0.086683,0.178725,0.21518,0.0917197,0.081197,0.163574,0.139666,0.0380199,0.0412039,0.125543,0.270789,0.149336,0.242296,0.399256,0.564028,0.0731671,0.116627,0.154096,0.104892,0.450624,0.261661
SNX29P2,0.0459891,0.162307,0.0835495,0.0946707,0.0938691,0.105802,0.16272,0.1913,0.0285943,0.109272,0.19485,0.192277,0.0503382,0,0.0750845,0.303868,0.181701,0.0523338,0.0692832,0.420801,0.282108,0.08936,0.111316,0.0269967
SNX3,111.74,113.742,77.3645,109.926,102.917,72.2701,108.578,109.938,90.7862,88.5539,92.0106,67.9391,91.9958,94.7171,81.2828,110.301,103.471,84.5485,95.9061,90.021,70.3373,101.385,92.4836,74.1745
SNX30,6.63562,6.01359,4.75853,5.64465,5.25545,4.60209,5.54991,5.59436,5.368,6.51806,6.1109,5.7329,5.48294,4.6845,5.08089,5.5811,4.86918,5.04744,5.92935,5.70602,5.27041,4.36503,4.2976,3.83317
SNX32,0.329802,0.383912,0.416592,0.45141,0.483039,0.666317,0.45895,0.493266,0.695778,0.533274,0.464945,0.65769,0.659947,0.39432,0.277879,0.338968,0.660509,0.802184,0.651024,0.655001,0.700024,0.460782,0.574425,0.572722
SNX33,12.8063,12.0055,16.3674,11.6702,10.9669,15.2646,11.9031,11.4955,14.2302,13.9053,11.1491,14.8619,12.7078,11.4217,13.5069,10.4795,10.2949,12.1667,11.8041,10.6478,14.6047,10.6668,12.3318,14.6849
SNX4,17.8347,20.1163,11.1015,17.1463,19.3115,11.669,16.7753,18.5424,14.5289,16.2864,19.5594,13.7603,18.2944,19.7269,19.6251,17.7518,18.6866,14.9778,17.3049,20.8464,14.595,18.4732,18.2784,12.6004
SNX5,28.7527,32.2774,22.9971,32.4909,33.9407,23.5,28.3727,31.2922,24.0974,27.32,33.8689,24.9373,29.7678,29.777,25.9784,29.5392,31.7745,29.0319,26.621,30.8697,23.6544,28.1044,25.6376,20.3975
SNX6,50.422,53.5144,30.4991,49.0158,48.639,31.3691,47.8444,49.8777,36.304,48.8033,51.2519,35.8396,49.1071,48.7073,46.2458,51.6094,48.3687,40.8238,48.7359,55.5647,36.2917,50.5171,46.0838,33.8818
SNX7,39.6118,45.6477,27.9355,43.2378,44.2999,29.5293,33.0628,36.7554,28.0339,38.4968,38.7575,32.9257,42.7587,43.3038,40.1806,37.195,36.6298,32.3718,36.5772,38.791,30.9596,38.6813,38.8545,30.3104
SNX8,6.84183,6.79421,12.1376,6.35139,7.41552,12.4077,8.06144,7.73769,11.0425,6.69354,5.64822,8.2438,6.35619,5.44963,5.54005,6.57218,6.66856,8.83716,5.81668,4.88745,7.86781,5.71801,7.4178,9.15333
SNX9,32.4994,34.0057,23.9447,23.3745,22.9246,16.6365,33.0086,33.8449,30.3473,29.6823,31.0452,27.3967,22.0651,21.9731,20.4236,25.9834,26.9586,22.8792,35.0795,33.0662,29.7967,24.7871,21.8374,19.3445
SOAT1,16.5545,15.0085,8.70885,15.8713,14.1551,9.36097,12.8322,13.058,9.63991,10.5921,10.2966,7.82949,12.328,10.3009,10.5849,14.7449,12.9063,12.1128,11.3382,11.3561,8.94082,12.3668,10.1856,7.57651
SOAT2,0.159072,0.0629763,0.161914,0.0420687,0.113626,0.0963963,0.158342,0.136081,0.111826,0.114374,0.0884189,0.0832243,0.0378832,0.046128,0,0.0703461,0.0487941,0.0580873,0.118195,0.0427152,0.147448,0.0164604,0.0518547,0.0863337
SOBP,0.588974,0.634527,0.451262,0.501816,0.502977,0.391132,0.515545,0.34314,0.535654,0.590641,0.512325,0.434363,0.509198,0.478116,0.485542,0.445499,0.434012,0.415225,0.514332,0.478397,0.375116,0.391827,0.455027,0.329979
SOCS1,2.22913,2.58561,2.24114,2.50894,2.41392,2.99741,5.34829,4.29008,3.97809,1.9733,1.75882,1.83745,2.64221,3.22728,2.26589,3.6478,3.71074,2.49829,2.37268,2.62306,2.0447,5.37364,6.15057,8.26524
SOCS2,5.18695,6.05182,4.05968,4.88615,5.10515,3.22455,5.40411,6.4694,5.00217,7.03556,8.4057,6.01784,5.40891,6.37271,5.90682,6.3726,7.28145,5.86328,8.03957,7.83136,6.16412,6.08268,5.28135,4.23914
SOCS2-AS1,0.722253,0.682626,1.73188,0.802755,0.515595,0.771438,0.767144,1.59793,1.20023,0.998884,1.38387,1.09141,1.42694,1.15935,0.965373,0.617506,1.67655,1.09016,1.16879,0.908842,1.66484,1.30294,0.808076,1.15739
SOCS3,31.1123,34.1599,45.1041,18.5607,18.3187,23.8558,119.823,117.105,144.329,21.1451,20.2824,25.0779,15.6198,15.9126,16.4755,33.8835,34.0872,40.6884,44.1831,35.8993,53.6387,19.9885,22.3946,23.8254
SOCS4,14.4787,14.6204,6.86112,12.8856,12.8023,6.78528,13.7663,14.5104,9.66166,14.2904,14.7907,9.99207,14.3909,13.857,14.6848,15.6147,14.0583,11.7297,15.7693,17.128,11.3234,15.6949,14.044,9.02391
SOCS5,9.58465,9.50297,5.1616,6.8077,7.45132,4.46717,7.67879,8.00029,5.82753,13.6977,13.9203,9.83769,9.81979,10.1111,9.58346,7.68004,7.99486,6.68457,12.1021,13.461,8.95468,9.97885,9.24801,5.99008
SOCS6,7.91608,8.67954,4.38592,7.06139,7.25842,3.93393,7.40804,8.42267,5.64513,9.8007,11.089,7.26333,8.82424,9.27648,8.46698,7.76815,7.33191,6.35673,10.6954,12.2171,7.92791,9.85567,9.46168,5.76707
SOCS7,3.57935,3.21923,3.08882,3.01192,2.86518,2.88864,3.01744,2.93435,3.27072,3.78769,3.10276,3.74024,3.57766,2.93278,3.42184,3.33135,2.91267,3.46437,3.34684,3.38737,3.35747,3.03489,3.0543,3.10166
SOD1,179.005,207.956,181.99,187.604,229.174,180.815,186.437,205.047,170.657,194.316,227.044,179.175,219.882,242.244,175.072,181.68,211.946,171.084,194.213,208.863,155.83,201.307,240.247,194.761
SOD2,199.453,196.493,170.206,150.521,138.617,118.539,1185.49,1179.88,1065.68,327.619,336.602,293.305,304.307,319.051,271.233,855.09,846.464,737.339,924.894,1015.37,916.671,927.882,1002.84,1021.36
SOD3,0.661715,0.572746,0.773863,0.551698,0.963161,1.62988,0.217738,0.277019,0.236931,0.440068,0.103841,0.267095,1.59557,1.26425,1.53295,0.660675,0.384684,0.902075,0.404939,0.413774,0.370515,1.32173,1.50228,1.72523
SOGA1,16.1815,16.2283,18.8011,11.1345,14.2541,21.2772,10.0069,10.3088,12.1137,17.837,14.403,24.3747,18.612,16.6857,19.8881,9.4326,8.8888,13.2989,15.2527,15.6696,20.3446,13.215,17.3356,18.2015
SOGA2,14.7963,15.97,16.892,11.9377,13.8993,13.1309,14.3262,16.4988,15.9406,23.3914,22.4531,27.0178,15.5152,17.4942,16.0667,9.34506,10.6154,11.998,20.8684,20.1148,23.077,12.0932,15.0978,13.474
SOGA3,0.57319,0.631408,0.406225,0.600607,0.716237,0.377507,0.684862,0.686174,0.613778,0.708748,0.92239,0.730223,0.890109,0.863991,0.871912,0.830762,0.829485,0.784256,0.911653,1.16958,0.746695,1.13552,0.91572,0.717976
SOHLH2,0.00686575,0.196274,0.0998597,0.220018,0.15828,0.054904,0.245524,0.153548,0.12721,0.0949412,0.0265132,0.213508,0.186812,0.000361232,0.185716,0.0127808,0.297696,0.00491383,0.191908,0.245932,0.000429247,0.120429,0.000914238,0.0855132
SOLH,21.9818,26.1258,49.3098,25.9874,27.3141,50.4055,25.6329,24.236,37.188,17.9537,17.8549,23.1168,17.8774,20.252,17.9098,25.9668,28.9613,31.9563,20.6911,15.7527,23.5603,21.318,26.3202,31.3502
SON,28.3156,28.7937,17.4337,20.8706,25.9249,18.4568,21.5319,22.6606,21.8794,35.4778,32.3991,34.3479,39.2747,32.3656,39.5882,22.6263,24.7076,24.4178,34.3646,38.9411,34.6851,29.597,31.7289,24.8556
